0	1	2
3	4	5
6	7	8
9	10	10
11	6	6
12	8	5
15	7	5
16	5	4
17	1	2
19	4	5
20	7	8
25	10	10
28	6	6
29	8	5
30	7	5
32	5	4	
35	4	5
35	7	8
36	10	10
39	6	6
40	8	5
41	7	5
41	5	4	
41	4	5
44	7	8
45	10	10
46	6	6
46	8	5
48	7	5
51	5	4	
52	4	5
53	7	8
54	10	10
60	6	6
60	8	5
62	7	5
62	5	4
68	1	2
69	4	5
70	7	8
70	10	10
70	6	6
70	8	5
71	7	5
71	5	4
71	1	2
71	4	5
71	7	8
72	10	10
72	6	6
73	8	5
73	7	5
76	5	4
77	1	2
80	4	5
81	7	8
85	10	10
86	6	6
88	8	5
88	7	5
88	5	4
88	1	2
88	4	5
88	7	8
88	10	10
88	6	6
88	8	5
88	7	5
88	5	4
90	1	2
92	4	5
92	7	8
92	10	10
93	6	6
93	8	5
94	7	5
94	5	4
95	1	2
95	4	5
96	7	8
99	10	10
101	6	6
102	8	5
105	7	5
106	5	4
106	1	2
107	4	7	
108	10	10
110	6	6
110	8	5
115	7	5
116	5	4
116	1	2
116	4	5
116	7	8
119	10	10
120	6	6
120	8	5
120	7	5
121 8	9
